gender,study_hours_per_day,attendance_percentage,assignment_score,midterm_score,final_exam_score,participation_score,internet_access,extra_classes,parent_education,sleep_hours,grade
Male,6.7,77.09,77.62,25.46,85.82,60.89,No,No,Bachelor,5.77,C
Male,3.28,60.5,33.1,84.96,82.46,28.75,Yes,Yes,High School,6.88,C
Female,6.0,41.73,84.74,56.81,35.67,27.07,Yes,No,Master,6.94,D
Female,5.75,63.71,56.67,73.18,78.81,74.53,No,No,PhD,7.42,B
Female,6.9,95.83,36.7,46.52,66.44,10.68,Yes,No,High School,8.4,D
Female,3.1,77.58,69.76,35.72,39.25,23.46,No,Yes,High School,7.26,D
Male,8.78,45.04,49.61,75.65,81.77,49.15,Yes,Yes,Bachelor,4.85,C
Male,3.78,93.1,76.17,58.77,36.02,23.42,Yes,Yes,Master,4.13,D
Male,7.25,56.13,76.07,42.64,42.4,96.38,Yes,Yes,Bachelor,4.98,C
Male,1.15,54.63,79.35,35.32,40.45,70.31,No,No,High School,8.54,D
Female,4.35,57.83,99.47,68.54,95.73,48.95,Yes,No,PhD,6.84,B
Male,4.17,74.63,57.07,79.42,78.87,20.1,No,Yes,Master,8.24,C
Male,5.89,72.68,62.57,46.29,58.79,44.67,Yes,Yes,High School,5.17,C
Female,1.65,69.48,86.32,80.14,87.55,68.55,No,Yes,High School,7.55,B
Female,8.11,83.05,70.49,38.73,45.12,97.19,Yes,No,Master,7.66,C
Female,2.96,58.99,32.61,50.38,95.18,52.54,No,No,Bachelor,8.05,C
Female,7.09,86.92,89.02,80.87,78.79,72.32,Yes,No,PhD,6.68,B
Male,8.23,50.52,33.6,74.51,69.17,27.58,No,No,Bachelor,7.97,C
Male,6.06,86.96,41.96,45.29,85.63,66.13,Yes,No,Bachelor,8.68,C
Female,7.67,79.83,37.15,34.16,75.13,31.51,No,Yes,PhD,8.79,D
Male,6.96,80.99,35.45,28.19,92.1,27.83,No,No,High School,4.63,C
Male,4.2,68.89,31.8,87.84,88.04,55.83,Yes,Yes,Master,7.12,B
Male,8.28,80.02,33.85,30.64,43.85,29.05,No,Yes,Master,4.57,D
Female,3.65,44.79,60.97,33.61,46.78,74.92,Yes,No,Bachelor,8.61,D
Male,6.14,91.09,47.7,42.83,34.56,94.36,No,Yes,Bachelor,8.78,D
Female,7.71,43.33,38.86,58.43,45.41,45.42,No,No,High School,6.5,D
Male,4.41,48.92,76.11,84.23,54.04,39.02,No,No,PhD,8.8,C
Male,3.72,74.61,45.83,43.56,32.02,25.83,No,Yes,PhD,7.83,D
Male,5.13,84.36,31.33,65.76,52.05,45.14,No,No,Master,7.48,D
Female,8.36,44.58,59.29,31.78,84.01,60.37,Yes,Yes,PhD,6.9,C
Male,9.37,95.25,51.73,59.84,88.82,43.57,No,Yes,Bachelor,6.03,B
Female,5.91,98.42,52.3,38.32,30.62,66.08,Yes,No,High School,8.82,D
Female,6.95,76.36,61.17,40.84,30.5,69.62,Yes,No,High School,4.99,D
Female,9.13,68.87,76.82,52.51,40.24,18.8,Yes,Yes,Bachelor,8.01,D
Male,1.89,84.48,73.15,82.1,91.08,72.8,No,Yes,Master,5.84,B
Male,3.09,59.7,95.61,80.8,62.85,91.03,Yes,Yes,Bachelor,7.77,B
Male,7.38,69.6,66.24,56.12,98.8,12.36,Yes,No,High School,4.82,B
Male,8.41,94.97,63.08,33.9,92.11,59.62,No,No,High School,5.87,C
Female,8.71,97.34,44.94,46.05,92.31,64.35,No,Yes,High School,8.73,C
Female,4.74,95.62,82.88,62.9,38.99,73.88,No,No,PhD,6.79,C
Female,1.8,55.75,39.85,90.21,63.27,44.72,No,Yes,Bachelor,6.46,C
Male,4.94,53.95,64.38,97.62,99.55,83.68,Yes,No,Master,7.76,A
Female,3.08,57.86,59.49,72.81,40.43,58.59,No,No,Bachelor,6.09,C
Male,3.62,66.48,76.08,51.3,70.2,46.8,Yes,No,Bachelor,6.47,C
Female,7.95,58.85,94.23,77.01,54.1,74.73,Yes,Yes,Bachelor,6.8,B
Male,1.68,62.45,96.26,50.22,57.15,93.46,No,Yes,PhD,8.95,C
Male,8.45,77.24,41.75,71.91,92.36,83.08,No,No,Bachelor,8.03,B
Female,4.85,85.75,48.33,43.28,71.15,93.76,No,Yes,High School,4.2,C
Female,6.36,84.13,86.81,45.02,83.11,33.93,Yes,No,Master,7.92,C
Female,1.81,88.87,66.28,30.64,77.13,20.67,No,No,PhD,6.51,C
Female,4.04,41.93,61.71,56.51,67.03,58.09,No,No,PhD,5.15,C
Male,1.81,42.86,79.74,71.36,85.42,14.0,No,Yes,PhD,8.27,C
Female,9.65,87.36,72.13,84.16,97.95,70.71,No,Yes,PhD,5.35,A
Female,8.27,71.98,97.95,85.78,97.68,31.6,Yes,No,High School,5.6,A
Female,5.14,74.69,70.88,99.43,85.26,50.89,Yes,No,High School,4.31,B
Male,3.01,43.16,62.62,31.58,64.11,69.0,No,No,Master,8.89,D
Male,9.4,55.32,68.0,61.99,41.42,53.48,No,Yes,Bachelor,7.98,D
Female,4.1,78.3,86.6,64.1,33.11,31.25,No,Yes,PhD,4.74,C
Male,2.45,91.55,72.89,85.34,46.2,89.23,No,No,Bachelor,6.45,B
Female,6.07,95.02,75.29,44.98,53.82,78.81,Yes,No,Bachelor,5.68,C
Male,9.49,70.03,98.0,30.2,39.09,64.1,No,Yes,Master,4.16,D
Male,1.03,72.73,73.29,48.53,45.73,72.87,No,No,PhD,8.64,C
Male,3.14,89.98,56.62,98.79,35.85,47.38,No,Yes,Bachelor,8.2,C
Male,9.45,72.26,78.39,92.46,66.66,43.83,Yes,Yes,Master,8.93,B
Female,2.54,71.01,76.16,54.64,38.84,24.41,Yes,Yes,Bachelor,5.21,D
Female,2.02,94.31,30.97,90.72,81.99,82.32,No,Yes,Master,7.5,B
Female,6.13,87.4,62.71,27.46,53.29,44.29,No,Yes,High School,4.59,D
Male,8.76,94.54,82.0,48.57,77.04,72.31,Yes,No,Master,6.16,B
Female,5.29,53.09,64.93,79.51,91.78,36.99,No,No,Master,8.23,B
Female,9.95,71.46,84.57,41.61,36.02,81.64,No,No,High School,4.04,C
Female,7.11,90.55,61.56,39.88,99.23,19.47,No,No,PhD,6.4,C
Male,1.67,46.67,98.83,89.64,75.17,66.25,No,No,Master,6.17,B
Male,9.94,87.68,50.5,71.2,33.74,82.68,Yes,No,Master,7.45,C
Male,4.67,50.98,36.45,99.18,51.98,69.42,Yes,No,Bachelor,5.19,C
Female,3.59,88.49,60.1,35.1,92.04,72.65,Yes,Yes,Master,4.87,C
Female,6.02,76.72,67.92,51.71,71.74,57.34,No,Yes,Master,7.25,C
Female,3.74,51.59,54.44,48.34,50.11,60.31,Yes,Yes,Bachelor,7.21,D
Male,1.78,68.4,46.96,91.01,95.83,15.93,Yes,No,PhD,7.76,B
Male,1.01,80.91,77.04,44.15,85.11,32.57,Yes,No,High School,5.23,C
Female,5.05,78.03,56.4,51.51,81.49,74.97,Yes,Yes,High School,4.08,C
Male,8.53,65.63,74.2,35.71,92.19,95.09,Yes,Yes,Master,8.39,B
Male,6.15,93.96,84.54,83.16,83.88,58.76,Yes,No,PhD,5.03,B
Male,9.99,71.16,83.27,42.83,50.07,75.3,Yes,No,High School,6.09,C
Male,3.58,70.35,56.27,30.12,70.87,71.52,No,Yes,Bachelor,6.34,C
Female,3.52,43.74,69.75,57.63,88.96,99.94,No,Yes,Master,4.94,B
Male,2.44,95.33,61.48,54.36,42.66,81.55,Yes,No,Master,6.6,C
Male,2.48,50.63,90.96,38.32,41.41,66.49,No,No,PhD,8.57,D
Male,3.57,71.7,91.51,35.02,41.13,20.36,Yes,No,Master,5.36,D
Male,8.14,88.21,54.06,92.24,43.6,42.64,No,No,PhD,6.6,C
Female,9.15,52.93,36.42,30.09,37.23,32.56,Yes,Yes,High School,5.54,F
Female,9.78,71.64,41.73,32.45,88.63,86.83,Yes,No,High School,8.9,C
Male,3.09,54.44,55.69,43.38,87.28,50.16,Yes,Yes,PhD,5.1,C
Male,8.93,85.58,69.5,96.46,40.6,58.18,No,Yes,High School,4.55,C
Male,3.95,73.86,75.98,31.4,79.39,96.83,No,No,High School,4.71,C
Male,2.02,91.36,53.2,86.2,73.89,85.3,Yes,No,High School,5.84,B
Male,8.83,93.67,76.72,91.9,49.33,81.08,No,Yes,PhD,6.76,B
Male,6.72,78.92,95.64,53.34,45.92,22.8,Yes,Yes,Bachelor,7.34,C
Female,2.48,83.52,75.64,47.04,47.54,12.05,No,Yes,Bachelor,6.81,D
Male,4.87,72.95,41.1,75.8,81.14,21.3,Yes,Yes,High School,8.53,C
Female,3.59,63.07,70.58,77.7,52.35,76.63,Yes,No,Bachelor,5.8,C
Female,7.63,78.89,67.93,83.5,49.46,46.96,No,No,High School,7.56,C
Male,5.08,94.5,90.95,87.29,31.57,20.57,Yes,Yes,Master,5.34,C
Female,9.9,65.0,54.52,45.13,93.58,76.51,Yes,Yes,Bachelor,7.41,C
Female,1.49,58.86,59.61,76.52,82.69,27.51,Yes,No,Master,8.63,C
Female,4.2,63.31,71.91,35.12,63.09,63.01,Yes,No,High School,8.89,C
Female,5.34,66.12,66.71,63.3,96.0,76.74,No,Yes,Bachelor,7.65,B
Female,5.53,44.41,80.33,70.97,50.55,64.73,Yes,No,Bachelor,8.71,C
Female,3.84,69.91,32.83,37.13,77.23,99.43,No,No,Master,7.4,C
Male,7.56,69.66,69.45,30.74,51.36,49.07,No,Yes,High School,8.82,D
Female,8.87,75.31,38.52,39.61,52.02,38.06,Yes,Yes,Bachelor,8.49,D
Female,9.45,61.77,52.06,56.54,89.13,28.11,Yes,Yes,PhD,4.53,C
Female,8.25,76.79,76.31,91.59,85.09,55.34,Yes,Yes,High School,6.37,B
Male,8.66,92.69,41.02,64.89,50.59,86.72,No,Yes,PhD,5.74,C
Female,5.95,97.33,51.62,81.14,35.7,95.22,Yes,No,Bachelor,4.13,C
Male,8.43,75.02,79.21,38.06,55.03,97.48,No,Yes,Bachelor,6.33,C
Female,3.73,42.56,75.56,32.95,83.2,57.82,Yes,Yes,PhD,4.74,C
Male,4.59,98.15,36.37,42.97,37.04,64.47,Yes,No,Bachelor,4.18,D
Male,3.85,82.35,70.41,48.54,77.05,62.34,No,No,Bachelor,6.23,C
Female,5.21,60.16,40.31,66.11,92.28,51.94,Yes,No,High School,5.16,C
Female,3.57,48.83,47.66,91.09,42.55,23.7,Yes,No,High School,8.68,D
Male,9.65,48.61,62.14,56.96,90.35,15.89,Yes,Yes,High School,8.06,C
Female,3.82,50.06,37.65,63.91,33.6,49.3,No,Yes,Master,8.78,D
Male,1.88,42.73,99.56,25.35,76.68,26.76,No,Yes,High School,8.41,C
Male,5.74,94.13,41.58,27.5,85.37,89.8,Yes,No,Bachelor,7.64,C
Male,1.51,72.45,84.69,31.28,61.13,78.55,No,Yes,Bachelor,6.99,C
Male,1.99,82.0,88.09,77.42,44.26,65.66,No,No,Master,4.33,C
Male,2.97,89.69,99.61,61.46,94.73,14.27,Yes,Yes,Bachelor,5.33,B
Female,5.18,87.49,60.01,39.47,31.4,66.0,No,No,Master,7.55,D
Male,4.9,92.96,91.19,69.44,68.85,65.9,Yes,Yes,High School,6.01,B
Male,8.2,98.04,97.03,65.85,56.1,49.53,No,No,PhD,5.63,B
Female,7.66,66.34,42.1,31.66,62.27,69.2,Yes,No,PhD,4.52,D
Male,4.84,97.02,63.56,73.03,67.56,87.21,No,Yes,PhD,4.35,B
Female,4.0,83.4,34.2,82.54,67.43,78.22,No,No,PhD,5.05,C
Female,3.85,44.24,73.45,46.49,44.25,52.61,Yes,No,PhD,8.17,D
Female,7.97,80.91,70.7,76.56,77.58,33.61,Yes,Yes,Master,7.32,B
Male,1.47,81.2,44.29,39.98,31.34,53.01,No,Yes,Bachelor,5.7,D
Male,1.12,94.35,85.85,81.75,31.48,95.14,Yes,No,Master,4.31,C
Male,8.16,62.38,32.61,93.38,63.49,83.8,Yes,Yes,Bachelor,4.94,C
Female,5.29,75.09,86.44,58.14,67.93,12.43,Yes,No,High School,6.25,C
Male,2.18,40.73,31.87,43.35,49.24,80.47,Yes,No,Master,4.77,D
Female,3.12,59.92,75.98,54.94,68.62,25.35,Yes,No,High School,7.81,C
Male,9.39,43.73,35.51,43.76,66.13,61.4,No,Yes,Bachelor,7.94,D
Female,8.74,71.31,47.59,25.09,54.45,82.59,No,No,Bachelor,4.68,D
Male,7.39,89.05,80.53,73.78,75.62,60.52,No,Yes,Bachelor,7.63,B
Male,5.34,52.39,49.63,28.19,97.06,46.35,Yes,Yes,Bachelor,6.56,C
Male,5.68,71.65,65.78,40.78,64.36,38.91,No,No,PhD,8.81,C
Female,9.78,52.24,94.07,79.18,85.02,37.46,Yes,No,Bachelor,7.94,B
Female,9.69,47.24,33.47,74.93,47.33,85.37,No,Yes,Bachelor,6.93,C
Male,2.94,70.66,86.78,30.5,83.34,84.25,Yes,Yes,High School,7.02,C
Male,8.3,44.75,34.57,74.5,75.42,84.1,No,No,High School,4.89,C
Female,2.78,75.24,38.88,94.79,74.78,35.45,No,Yes,PhD,8.47,C
Female,2.92,41.88,38.35,30.59,92.51,81.9,No,No,PhD,6.8,C
Female,7.08,46.4,99.59,56.18,46.33,13.3,Yes,Yes,PhD,6.87,C
Male,4.65,73.0,42.61,79.71,55.79,28.58,Yes,No,PhD,6.88,C
Female,9.38,75.48,92.77,75.08,35.81,56.31,No,Yes,PhD,5.38,C
Male,1.8,41.74,99.37,41.99,80.83,46.61,Yes,Yes,High School,8.06,C
Female,5.6,74.4,56.86,37.23,89.07,20.07,No,No,High School,8.31,C
Male,9.27,90.31,74.17,83.82,58.41,13.75,No,Yes,Master,5.44,C
Female,9.14,83.34,84.54,96.72,54.98,65.01,No,Yes,PhD,6.21,B
Female,2.41,47.87,57.49,82.57,76.11,38.21,No,No,Bachelor,4.9,C
Female,4.3,75.55,41.33,97.24,35.29,11.44,No,Yes,PhD,5.19,D
Female,6.57,80.34,60.36,70.37,50.57,48.78,No,Yes,Master,5.68,C
Female,2.43,42.23,84.03,94.68,55.63,37.61,Yes,Yes,Master,8.51,C
Male,9.71,91.32,84.65,76.78,66.3,61.89,Yes,Yes,Bachelor,7.13,B
Female,9.23,94.38,46.14,93.17,63.36,93.68,No,Yes,High School,6.94,B
Female,2.5,91.03,42.25,37.12,44.61,37.71,Yes,Yes,Master,8.73,D
Female,2.09,89.48,94.44,86.17,67.86,99.74,Yes,No,Bachelor,7.96,B
Male,1.77,84.7,33.08,39.76,94.81,17.74,No,Yes,Bachelor,4.08,C
Female,9.18,78.01,81.43,27.06,31.9,17.95,No,No,Master,4.62,D
Male,2.74,80.72,33.25,63.82,77.62,74.17,No,Yes,Master,5.24,C
Female,4.75,88.38,88.65,48.87,73.73,77.38,Yes,No,High School,5.52,B
Female,5.04,79.75,93.38,28.26,94.71,48.06,No,No,Bachelor,8.17,B
Male,6.39,59.66,50.82,98.52,75.17,35.74,Yes,Yes,Bachelor,7.85,B
Female,1.65,62.56,35.18,74.98,73.74,81.46,No,No,High School,4.73,C
Male,3.04,93.82,63.65,92.64,83.89,96.06,Yes,Yes,Master,6.67,B
Male,9.38,41.03,50.89,99.93,48.75,99.09,No,Yes,Bachelor,4.55,C
Female,9.18,81.93,59.2,54.4,71.7,67.1,Yes,No,High School,4.86,C
Male,8.03,97.29,76.55,44.11,66.36,76.61,Yes,No,Bachelor,5.21,C
Female,1.17,82.37,44.69,38.79,60.69,84.0,Yes,No,Bachelor,8.53,C
Female,3.94,99.63,54.99,63.64,35.56,81.9,Yes,No,Master,5.83,C
Male,6.65,81.25,84.78,70.46,50.48,99.41,Yes,No,Bachelor,8.58,B
Male,3.48,42.06,75.06,60.43,49.6,82.94,No,Yes,Master,7.75,C
Male,9.19,89.62,52.84,54.04,80.7,69.63,Yes,Yes,Bachelor,7.75,C
Male,6.71,57.08,76.5,37.62,94.45,43.86,No,No,Bachelor,8.02,C
Female,1.65,66.76,83.57,58.14,46.16,63.82,Yes,No,Bachelor,4.48,C
Female,9.18,58.73,71.47,31.39,35.22,89.23,No,No,High School,8.07,D
Male,9.62,56.11,46.76,89.88,100.0,37.49,Yes,Yes,Master,5.26,B
Female,1.7,65.88,30.02,28.52,78.38,12.76,Yes,No,High School,8.92,D
Female,5.79,62.73,86.2,53.55,92.05,39.45,No,Yes,PhD,8.24,B
Female,3.73,78.0,87.58,32.51,40.07,96.42,Yes,Yes,Bachelor,8.98,C
Female,4.54,88.79,78.83,83.12,86.05,81.47,Yes,No,PhD,8.69,B
Male,2.62,57.83,35.36,48.46,86.93,26.84,Yes,Yes,Master,5.8,C
Male,6.2,52.82,70.97,33.48,40.6,11.08,No,Yes,High School,8.71,D
Female,9.62,80.01,87.47,64.86,41.3,70.22,Yes,No,High School,5.65,C
Male,5.53,80.22,57.28,93.72,50.68,62.11,No,No,Master,7.3,C
Male,1.75,94.07,43.86,93.15,45.18,17.47,Yes,Yes,Master,8.09,C
Male,6.58,40.96,71.13,43.72,98.28,96.94,Yes,No,High School,5.91,B
Female,4.06,91.18,87.84,78.97,55.41,65.6,Yes,Yes,PhD,5.02,B
Female,8.7,71.26,33.42,27.27,83.29,68.64,Yes,Yes,Master,8.47,C
Female,4.91,77.28,71.79,34.89,86.35,86.82,Yes,No,Bachelor,4.52,C
Male,2.74,45.48,75.02,62.46,57.02,40.34,Yes,Yes,PhD,5.82,C
Female,2.72,65.96,72.17,42.16,77.78,60.24,No,Yes,High School,6.7,C
Female,7.92,53.64,75.5,84.87,37.55,61.86,No,Yes,Master,8.02,C
Male,3.39,55.25,74.2,94.83,57.79,97.06,No,Yes,Master,8.34,B
Female,7.91,70.25,39.13,25.32,97.71,21.83,Yes,Yes,PhD,6.56,C
Female,2.85,88.75,46.45,42.47,41.8,78.3,No,No,Master,6.87,D
Male,3.9,84.63,73.33,57.97,57.0,61.76,Yes,No,Bachelor,8.27,C
Male,5.19,75.46,31.24,67.23,85.34,86.08,No,Yes,High School,6.34,C
Male,9.49,72.37,74.43,93.69,76.58,84.88,No,No,PhD,6.8,B
Female,9.39,65.64,76.58,91.89,74.21,11.08,No,No,PhD,4.09,B
Female,2.86,98.36,46.74,72.79,89.73,33.08,Yes,No,Bachelor,8.76,B
Female,4.22,73.61,71.87,44.3,32.04,26.27,Yes,No,Master,6.83,D
Male,2.34,55.24,67.39,83.75,83.98,51.55,Yes,No,PhD,7.64,B
Male,5.59,53.81,48.25,40.2,91.78,91.48,Yes,No,High School,5.24,C
Female,5.15,76.68,62.41,97.39,31.13,10.45,No,No,Master,7.28,C
Female,9.11,71.37,93.67,25.44,69.13,53.94,No,Yes,PhD,6.3,C
Male,9.37,40.46,59.86,67.73,54.4,89.63,Yes,No,PhD,4.56,C
Male,4.45,89.8,74.09,31.63,33.55,93.36,No,No,High School,8.15,D
Male,5.43,82.25,32.47,55.57,59.24,69.16,Yes,Yes,PhD,8.2,C
Male,9.07,79.71,35.45,72.62,75.08,84.68,Yes,No,Master,4.32,C
Female,8.26,44.13,35.69,76.72,94.33,39.17,No,Yes,Bachelor,5.95,C
Male,1.03,61.72,84.48,83.92,73.44,35.74,Yes,No,PhD,5.41,B
Female,3.88,96.12,54.52,69.5,89.97,14.42,No,Yes,Bachelor,6.58,B
Female,4.8,91.76,45.93,43.85,38.51,55.29,Yes,Yes,High School,6.44,D
Female,3.07,57.13,82.31,91.69,44.74,51.02,Yes,Yes,Bachelor,7.28,C
Male,2.8,49.42,41.9,85.83,97.92,43.47,Yes,No,PhD,5.24,B
Male,1.34,66.95,47.25,37.0,92.12,20.2,Yes,No,High School,5.11,C
Male,6.79,61.35,60.17,86.99,46.47,30.77,Yes,Yes,Master,7.62,C
Male,3.36,80.93,53.2,97.95,73.47,28.33,Yes,Yes,Bachelor,8.88,B
Female,1.47,97.99,70.98,72.79,55.38,94.96,No,Yes,PhD,8.73,B
Male,3.08,61.78,53.65,46.14,62.8,96.98,No,Yes,Master,7.96,C
Male,8.22,43.73,57.51,70.49,90.26,10.31,Yes,Yes,Bachelor,4.34,C
Female,8.66,93.86,90.4,50.69,81.5,25.35,No,No,Master,5.19,B
Male,5.35,42.28,91.92,75.7,46.69,89.99,Yes,Yes,PhD,7.45,C
Female,4.74,97.17,87.94,65.86,52.12,13.45,Yes,Yes,PhD,5.48,C
Female,9.8,79.87,90.54,94.71,50.28,94.91,Yes,Yes,Bachelor,5.97,B
Female,2.81,96.5,69.88,71.34,84.65,44.21,No,No,Bachelor,8.77,B
Female,2.94,51.98,75.24,41.05,64.31,58.48,No,No,PhD,4.43,C
Female,3.63,42.44,69.0,79.38,96.55,78.74,Yes,No,Master,8.31,B
Female,2.55,69.29,84.99,47.57,87.17,31.95,Yes,No,Bachelor,4.25,C
Female,4.41,67.04,68.57,45.43,44.78,19.06,No,Yes,PhD,5.69,D
Female,9.2,59.89,37.78,54.38,85.02,82.9,No,Yes,High School,6.78,C
Male,6.54,97.46,86.67,25.9,65.43,98.62,No,Yes,Master,5.78,C
Male,4.71,89.36,83.24,97.69,47.76,69.29,No,No,High School,8.79,B
Male,9.41,79.69,87.42,64.92,55.43,84.27,Yes,Yes,High School,6.52,C
Male,1.44,49.77,43.33,83.01,98.05,94.72,No,No,Master,7.67,B
Female,2.89,84.06,49.01,44.34,63.88,30.57,No,No,High School,7.51,D
Male,6.09,83.62,50.7,81.0,80.37,41.54,Yes,No,High School,8.18,B
Female,6.54,65.5,65.57,67.54,63.4,29.71,Yes,Yes,High School,8.32,C
Male,1.36,95.49,39.37,56.81,56.01,15.56,No,No,PhD,6.33,D
Male,4.63,50.02,56.98,97.8,85.75,75.9,Yes,Yes,High School,8.32,B
Male,6.84,56.04,42.75,62.04,89.38,23.11,Yes,No,High School,7.27,C
Female,7.28,43.79,48.53,74.31,35.03,18.34,Yes,Yes,Master,7.43,D
Male,6.74,87.73,79.45,26.15,49.53,42.19,No,No,Master,4.87,D
Female,3.89,77.31,89.84,47.61,65.55,15.45,Yes,No,High School,5.23,C
Female,1.84,58.9,31.6,91.65,52.15,26.16,Yes,No,High School,7.44,C
Male,4.84,49.83,69.61,81.92,84.85,16.29,Yes,No,High School,5.33,B
Male,2.16,42.41,32.52,65.26,38.03,88.96,Yes,No,PhD,6.45,D
Male,9.53,50.0,35.97,92.51,85.85,80.18,No,No,High School,6.45,B
Female,5.28,67.2,79.36,61.47,73.25,87.36,No,No,Master,5.17,B
Male,3.86,54.83,81.49,67.49,50.26,88.15,No,Yes,Master,6.83,C
Female,7.9,55.54,86.98,53.66,54.11,95.01,No,Yes,High School,6.82,C
Female,5.48,92.53,63.2,71.5,42.8,26.8,No,Yes,High School,4.65,C
Male,3.79,70.91,90.19,48.93,47.68,91.0,No,Yes,Master,5.91,C
Male,8.31,83.76,41.68,53.91,80.21,57.25,Yes,No,High School,5.83,C
Female,8.8,42.14,47.48,97.47,56.31,24.96,No,Yes,High School,6.81,C
Female,7.06,61.91,39.42,33.35,78.12,69.02,No,Yes,PhD,7.75,C
Female,1.42,68.75,85.83,32.89,65.99,39.43,Yes,No,High School,4.09,C
Male,6.1,51.19,46.01,28.25,40.17,14.18,No,Yes,PhD,4.66,F
Female,7.87,47.21,40.89,49.0,64.93,17.08,Yes,No,Bachelor,5.51,D
Male,2.23,92.22,73.62,54.87,82.95,48.13,Yes,Yes,PhD,8.05,B
Female,3.06,96.37,35.4,32.09,50.84,84.38,No,No,High School,6.4,D
Female,8.94,44.73,33.14,66.18,75.37,37.99,No,No,High School,6.55,C
Male,1.18,60.94,37.47,68.75,43.93,78.95,Yes,Yes,Master,6.05,D
Female,7.77,97.5,30.02,81.33,39.5,15.02,Yes,Yes,High School,6.08,D
Male,5.26,44.99,78.79,98.2,55.22,45.44,Yes,No,High School,8.89,C
Male,5.02,78.62,69.36,71.45,57.24,21.47,Yes,No,High School,8.49,C
Female,1.06,98.33,44.69,33.37,83.27,87.72,Yes,No,PhD,7.63,C
Male,8.37,98.69,46.31,31.64,62.21,97.11,Yes,No,PhD,5.62,C
Male,4.24,68.27,86.77,83.32,35.69,39.31,Yes,No,Bachelor,6.57,C
Female,5.87,49.76,65.13,73.78,74.38,99.0,No,Yes,PhD,7.45,B
Male,7.1,52.13,78.9,37.14,62.85,77.71,Yes,Yes,Master,5.97,C
Male,7.32,93.38,61.69,44.0,53.22,10.11,No,Yes,PhD,6.62,D
Male,9.6,94.7,46.64,81.27,86.16,53.67,No,Yes,High School,4.73,B
Female,5.78,76.47,97.93,67.46,40.81,85.07,No,Yes,PhD,4.47,C
Male,4.6,85.97,69.6,68.88,93.92,58.05,Yes,No,High School,4.84,B
Female,9.58,84.4,39.17,40.75,53.38,59.5,No,Yes,Master,7.78,D
Female,6.78,79.71,58.43,72.18,62.27,50.29,Yes,Yes,Bachelor,4.95,C
Male,3.68,89.64,53.05,82.8,95.05,45.55,Yes,Yes,Bachelor,8.62,B
Male,2.14,81.12,44.99,91.39,83.29,12.47,No,No,Bachelor,5.84,B
Male,8.58,72.04,95.34,80.25,35.2,65.96,Yes,Yes,Bachelor,4.85,C
Female,4.26,54.22,91.66,68.23,70.48,79.01,No,No,High School,8.13,B
Male,6.94,84.63,43.94,75.49,51.73,81.12,Yes,Yes,High School,6.28,C
Male,5.24,68.41,54.65,61.38,65.59,66.22,No,No,PhD,5.94,C
Male,2.79,57.69,83.36,42.02,82.01,40.71,No,Yes,High School,5.65,C
Male,6.42,88.12,44.6,91.17,64.73,12.03,No,No,Bachelor,5.65,C
Male,1.55,81.8,71.41,64.95,34.97,90.62,Yes,Yes,High School,7.32,C
Female,4.72,96.24,78.99,69.57,67.1,48.61,Yes,No,Master,6.7,B
Female,5.92,49.93,75.78,99.26,31.69,64.11,Yes,Yes,Master,6.34,C
Male,4.92,78.95,79.45,98.88,54.39,27.51,Yes,No,Master,6.24,B
Male,7.74,54.65,79.47,68.97,63.46,22.78,No,No,Bachelor,4.71,C
Male,8.45,94.21,97.54,27.55,75.13,17.81,No,Yes,PhD,8.14,C
Male,7.94,45.97,54.25,54.71,65.43,81.89,No,No,High School,8.63,C
Female,1.35,79.37,91.5,95.3,40.64,68.18,No,Yes,PhD,8.01,B
Male,2.75,87.47,31.53,46.62,95.26,65.9,No,No,High School,6.26,C
Female,5.83,61.3,50.17,99.95,75.52,92.75,Yes,Yes,Bachelor,8.86,B
Female,9.41,97.25,33.41,31.32,52.19,24.28,Yes,Yes,Master,7.09,D
Male,8.51,91.04,75.58,67.61,97.62,25.32,Yes,No,Bachelor,7.87,B
Female,8.58,57.68,37.06,63.66,91.78,27.05,No,Yes,Master,7.71,C
Female,3.73,40.45,89.2,44.15,40.04,48.1,Yes,Yes,PhD,7.54,D
Female,4.87,57.8,75.26,96.15,75.88,88.68,No,No,PhD,7.21,B
Female,5.24,56.88,32.02,71.44,69.2,89.33,No,No,Bachelor,5.06,C
Male,2.42,93.4,80.03,42.27,43.5,63.15,No,Yes,Bachelor,5.47,C
Male,1.28,98.03,90.34,53.8,46.34,69.23,No,Yes,High School,8.43,C
Female,9.52,44.23,76.28,79.09,69.46,90.8,Yes,No,PhD,4.9,B
Male,3.17,68.28,32.14,47.33,52.49,66.18,No,Yes,Master,4.76,D
Male,3.16,72.9,90.05,90.97,88.44,30.68,Yes,Yes,PhD,5.42,B
Male,1.75,45.57,81.27,37.43,36.84,73.44,Yes,Yes,High School,5.81,D
Male,9.36,62.65,56.49,44.84,93.98,79.29,No,Yes,Bachelor,6.77,C
Male,6.22,59.02,53.0,35.87,88.84,67.18,No,Yes,Master,7.03,C
Female,7.0,72.16,63.59,32.81,81.7,34.62,Yes,Yes,High School,7.95,C
Male,9.2,79.67,90.7,47.52,48.38,45.99,No,No,Bachelor,4.37,C
Male,4.11,82.21,47.64,99.94,80.05,52.35,No,Yes,Master,5.04,B
